Time: 0m0s - Junction Junction D: 1 cars through from North, 14 cars waiting. 
Time: 0m15s - Junction Junction D: 24 cars through from North, 6 cars waiting. 
Time: 0m15s - Junction Junction D: 25 cars through from North, 5 cars waiting. 
Time: 0m15s - Junction Junction D: 26 cars through from North, 4 cars waiting. 
Time: 0m15s - Junction Junction D: 27 cars through from North, 3 cars waiting. 
Time: 0m15s - Junction Junction D: 28 cars through from North, 2 cars waiting. 
Time: 0m15s - Junction Junction D: 29 cars through from North, 1 cars waiting. 
Time: 0m15s - Junction Junction D: 30 cars through from North, 0 cars waiting. 
Time: 0m22s - Junction Junction D: 1 cars through from South, 29 cars waiting. 
Time: 0m22s - Junction Junction D: 2 cars through from South, 28 cars waiting. 
Time: 0m22s - Junction Junction D: 3 cars through from South, 27 cars waiting. 
Time: 0m22s - Junction Junction D: 4 cars through from South, 26 cars waiting. 
Time: 0m22s - Junction Junction D: 5 cars through from South, 25 cars waiting. 
Time: 0m23s - Junction Junction D: 6 cars through from South, 24 cars waiting. 
Time: 0m23s - Junction Junction D: 7 cars through from South, 23 cars waiting. 
Time: 0m23s - Junction Junction D: 8 cars through from South, 22 cars waiting. 
Time: 0m23s - Junction Junction D: 9 cars through from South, 21 cars waiting. 
Time: 0m23s - Junction Junction D: 10 cars through from South, 20 cars waiting. 
Time: 0m23s - Junction Junction D: 11 cars through from South, 19 cars waiting. 
Time: 0m23s - Junction Junction D: 12 cars through from South, 18 cars waiting. 
Time: 0m23s - Junction Junction D: 13 cars through from South, 17 cars waiting. 
Time: 0m23s - Junction Junction D: 14 cars through from South, 16 cars waiting. 
Time: 0m23s - Junction Junction D: 15 cars through from South, 15 cars waiting. 
Time: 0m24s - Junction Junction D: 16 cars through from South, 14 cars waiting. 
Time: 0m24s - Junction Junction D: 17 cars through from South, 13 cars waiting. 
Time: 0m24s - Junction Junction D: 18 cars through from South, 12 cars waiting. 
Time: 0m24s - Junction Junction D: 19 cars through from South, 11 cars waiting. 
Time: 0m24s - Junction Junction D: 20 cars through from South, 10 cars waiting. 
Time: 0m24s - Junction Junction D: 21 cars through from South, 9 cars waiting. 
Time: 0m24s - Junction Junction D: 22 cars through from South, 8 cars waiting. 
Time: 0m24s - Junction Junction D: 23 cars through from South, 7 cars waiting. 
Time: 0m24s - Junction Junction D: 24 cars through from South, 6 cars waiting. 
Time: 0m24s - Junction Junction D: 25 cars through from South, 5 cars waiting. 
Time: 0m25s - Junction Junction D: 26 cars through from South, 4 cars waiting. 
Time: 0m25s - Junction Junction D: 27 cars through from South, 3 cars waiting. 
Time: 0m25s - Junction Junction D: 28 cars through from South, 2 cars waiting. 
Time: 0m25s - Junction Junction D: 29 cars through from South, 1 cars waiting. 
Time: 0m25s - Junction Junction D: 30 cars through from South, 0 cars waiting. 
Time: 0m33s - Junction Junction D: 1 cars through from North, 59 cars waiting. 
Time: 0m34s - Junction Junction D: 2 cars through from North, 58 cars waiting. 
Time: 0m34s - Junction Junction D: 3 cars through from North, 57 cars waiting. 
Time: 0m34s - Junction Junction D: 4 cars through from North, 56 cars waiting. 
Time: 0m35s - Junction Junction D: 5 cars through from North, 55 cars waiting. 
Time: 0m35s - Junction Junction D: 6 cars through from North, 54 cars waiting. 
Time: 0m35s - Junction Junction D: 7 cars through from North, 53 cars waiting. 
Time: 0m35s - Junction Junction D: 8 cars through from North, 52 cars waiting. 
Time: 0m35s - Junction Junction D: 9 cars through from North, 51 cars waiting. 
Time: 0m36s - Junction Junction D: 10 cars through from North, 50 cars waiting. 
Time: 0m36s - Junction Junction D: 11 cars through from North, 49 cars waiting. 
Time: 0m36s - Junction Junction D: 12 cars through from North, 48 cars waiting. 
Time: 0m36s - Junction Junction D: 13 cars through from North, 47 cars waiting. 
Time: 0m36s - Junction Junction D: 14 cars through from North, 46 cars waiting. 
Time: 0m36s - Junction Junction D: 15 cars through from North, 45 cars waiting. 
Time: 0m36s - Junction Junction D: 16 cars through from North, 44 cars waiting. 
Time: 0m36s - Junction Junction D: 17 cars through from North, 43 cars waiting. 
Time: 0m36s - Junction Junction D: 18 cars through from North, 42 cars waiting. 
Time: 0m36s - Junction Junction D: 19 cars through from North, 41 cars waiting. 
Time: 0m37s - Junction Junction D: 20 cars through from North, 40 cars waiting. 
Time: 0m37s - Junction Junction D: 21 cars through from North, 39 cars waiting. 
Time: 0m37s - Junction Junction D: 22 cars through from North, 38 cars waiting. 
Time: 0m37s - Junction Junction D: 23 cars through from North, 37 cars waiting. 
Time: 0m37s - Junction Junction D: 24 cars through from North, 36 cars waiting. 
Time: 0m37s - Junction Junction D: 25 cars through from North, 35 cars waiting. 
Time: 0m37s - Junction Junction D: 26 cars through from North, 34 cars waiting. 
Time: 0m37s - Junction Junction D: 27 cars through from North, 33 cars waiting. 
Time: 0m37s - Junction Junction D: 28 cars through from North, 32 cars waiting. 
Time: 0m37s - Junction Junction D: 29 cars through from North, 31 cars waiting. 
Time: 0m38s - Junction Junction D: 30 cars through from North, 30 cars waiting. 
Time: 0m38s - Junction Junction D: 31 cars through from North, 29 cars waiting. 
Time: 0m38s - Junction Junction D: 32 cars through from North, 28 cars waiting. 
Time: 0m38s - Junction Junction D: 33 cars through from North, 27 cars waiting. 
Time: 0m38s - Junction Junction D: 34 cars through from North, 26 cars waiting. 
Time: 0m38s - Junction Junction D: 35 cars through from North, 25 cars waiting. 
Time: 0m38s - Junction Junction D: 36 cars through from North, 24 cars waiting. 
Time: 0m38s - Junction Junction D: 37 cars through from North, 23 cars waiting. 
Time: 0m38s - Junction Junction D: 38 cars through from North, 22 cars waiting. 
Time: 0m38s - Junction Junction D: 39 cars through from North, 21 cars waiting. 
Time: 0m39s - Junction Junction D: 40 cars through from North, 20 cars waiting. 
Time: 0m39s - Junction Junction D: 41 cars through from North, 19 cars waiting. 
Time: 0m39s - Junction Junction D: 42 cars through from North, 18 cars waiting. 
Time: 0m39s - Junction Junction D: 43 cars through from North, 17 cars waiting. 
Time: 0m39s - Junction Junction D: 44 cars through from North, 16 cars waiting. 
Time: 0m39s - Junction Junction D: 45 cars through from North, 15 cars waiting. 
Time: 0m39s - Junction Junction D: 46 cars through from North, 14 cars waiting. 
Time: 0m39s - Junction Junction D: 47 cars through from North, 13 cars waiting. 
Time: 0m39s - Junction Junction D: 48 cars through from North, 12 cars waiting. 
Time: 0m39s - Junction Junction D: 49 cars through from North, 11 cars waiting. 
Time: 0m40s - Junction Junction D: 50 cars through from North, 10 cars waiting. 
Time: 0m40s - Junction Junction D: 51 cars through from North, 9 cars waiting. 
Time: 0m40s - Junction Junction D: 52 cars through from North, 8 cars waiting. 
Time: 0m40s - Junction Junction D: 53 cars through from North, 7 cars waiting. 
Time: 0m40s - Junction Junction D: 54 cars through from North, 6 cars waiting. 
Time: 0m40s - Junction Junction D: 55 cars through from North, 5 cars waiting. 
Time: 0m40s - Junction Junction D: 56 cars through from North, 4 cars waiting. 
Time: 0m40s - Junction Junction D: 57 cars through from North, 3 cars waiting. 
Time: 0m40s - Junction Junction D: 58 cars through from North, 2 cars waiting. 
Time: 0m40s - Junction Junction D: 59 cars through from North, 1 cars waiting. 
Time: 0m41s - Junction Junction D: 60 cars through from North, 0 cars waiting. 
Time: 0m54s - Junction Junction D: 1 cars through from South, 59 cars waiting. 
Time: 0m54s - Junction Junction D: 2 cars through from South, 58 cars waiting. 
Time: 0m55s - Junction Junction D: 3 cars through from South, 57 cars waiting. 
Time: 0m55s - Junction Junction D: 4 cars through from South, 56 cars waiting. 
Time: 0m55s - Junction Junction D: 5 cars through from South, 55 cars waiting. 
Time: 0m55s - Junction Junction D: 6 cars through from South, 54 cars waiting. 
Time: 0m55s - Junction Junction D: 7 cars through from South, 53 cars waiting. 
Time: 0m55s - Junction Junction D: 8 cars through from South, 52 cars waiting. 
Time: 0m55s - Junction Junction D: 9 cars through from South, 51 cars waiting. 
Time: 0m55s - Junction Junction D: 10 cars through from South, 50 cars waiting. 
Time: 0m55s - Junction Junction D: 11 cars through from South, 49 cars waiting. 
Time: 0m56s - Junction Junction D: 12 cars through from South, 48 cars waiting. 
Time: 0m56s - Junction Junction D: 13 cars through from South, 47 cars waiting. 
Time: 0m56s - Junction Junction D: 14 cars through from South, 46 cars waiting. 
Time: 0m56s - Junction Junction D: 15 cars through from South, 45 cars waiting. 
Time: 0m56s - Junction Junction D: 16 cars through from South, 44 cars waiting. 
Time: 0m56s - Junction Junction D: 17 cars through from South, 43 cars waiting. 
Time: 0m56s - Junction Junction D: 18 cars through from South, 42 cars waiting. 
Time: 0m56s - Junction Junction D: 19 cars through from South, 41 cars waiting. 
Time: 0m56s - Junction Junction D: 20 cars through from South, 40 cars waiting. 
Time: 0m56s - Junction Junction D: 21 cars through from South, 39 cars waiting. 
Time: 0m57s - Junction Junction D: 22 cars through from South, 38 cars waiting. 
Time: 0m57s - Junction Junction D: 23 cars through from South, 37 cars waiting. 
Time: 0m57s - Junction Junction D: 24 cars through from South, 36 cars waiting. 
Time: 0m57s - Junction Junction D: 25 cars through from South, 35 cars waiting. 
Time: 0m57s - Junction Junction D: 26 cars through from South, 34 cars waiting. 
Time: 0m57s - Junction Junction D: 27 cars through from South, 33 cars waiting. 
Time: 0m57s - Junction Junction D: 28 cars through from South, 32 cars waiting. 
Time: 0m57s - Junction Junction D: 29 cars through from South, 31 cars waiting. 
Time: 0m57s - Junction Junction D: 30 cars through from South, 30 cars waiting. 
Time: 0m57s - Junction Junction D: 31 cars through from South, 29 cars waiting. 
Time: 0m58s - Junction Junction D: 32 cars through from South, 28 cars waiting. 
Time: 0m58s - Junction Junction D: 33 cars through from South, 27 cars waiting. 
Time: 0m58s - Junction Junction D: 34 cars through from South, 26 cars waiting. 
Time: 0m58s - Junction Junction D: 35 cars through from South, 25 cars waiting. 
Time: 0m58s - Junction Junction D: 36 cars through from South, 24 cars waiting. 
Time: 0m58s - Junction Junction D: 37 cars through from South, 23 cars waiting. 
Time: 0m58s - Junction Junction D: 38 cars through from South, 22 cars waiting. 
Time: 0m58s - Junction Junction D: 39 cars through from South, 21 cars waiting. 
Time: 0m58s - Junction Junction D: 40 cars through from South, 20 cars waiting. 
Time: 0m58s - Junction Junction D: 41 cars through from South, 19 cars waiting. 
Time: 0m59s - Junction Junction D: 42 cars through from South, 18 cars waiting. 
Time: 0m59s - Junction Junction D: 43 cars through from South, 17 cars waiting. 
Time: 0m59s - Junction Junction D: 44 cars through from South, 16 cars waiting. 
Time: 0m59s - Junction Junction D: 45 cars through from South, 15 cars waiting. 
Time: 0m59s - Junction Junction D: 46 cars through from South, 14 cars waiting. 
Time: 0m59s - Junction Junction D: 47 cars through from South, 13 cars waiting. 
Time: 0m59s - Junction Junction D: 48 cars through from South, 12 cars waiting. 
Time: 0m59s - Junction Junction D: 49 cars through from South, 11 cars waiting. 
Time: 0m59s - Junction Junction D: 50 cars through from South, 10 cars waiting. 
Time: 0m59s - Junction Junction D: 51 cars through from South, 9 cars waiting. 
Time: 1m0s - Junction Junction D: 52 cars through from South, 8 cars waiting. 
Time: 1m0s - Junction Junction D: 53 cars through from South, 7 cars waiting. 
Time: 1m0s - Junction Junction D: 54 cars through from South, 6 cars waiting. 
Time: 1m0s - Junction Junction D: 55 cars through from South, 5 cars waiting. 
Time: 1m0s - Junction Junction D: 56 cars through from South, 4 cars waiting. 
Time: 1m0s - Junction Junction D: 57 cars through from South, 3 cars waiting. 
Time: 1m0s - Junction Junction D: 58 cars through from South, 2 cars waiting. 
Time: 1m0s - Junction Junction D: 59 cars through from South, 1 cars waiting. 
Time: 1m1s - Junction Junction D: 60 cars through from South, 0 cars waiting. 
Time: 1m16s - Junction Junction D: 1 cars through from North, 59 cars waiting. 
Time: 1m16s - Junction Junction D: 2 cars through from North, 58 cars waiting. 
Time: 1m16s - Junction Junction D: 3 cars through from North, 57 cars waiting. 
Time: 1m16s - Junction Junction D: 4 cars through from North, 56 cars waiting. 
Time: 1m17s - Junction Junction D: 5 cars through from North, 55 cars waiting. 
Time: 1m17s - Junction Junction D: 6 cars through from North, 54 cars waiting. 
Time: 1m17s - Junction Junction D: 7 cars through from North, 53 cars waiting. 
Time: 1m17s - Junction Junction D: 8 cars through from North, 52 cars waiting. 
Time: 1m17s - Junction Junction D: 9 cars through from North, 51 cars waiting. 
Time: 1m17s - Junction Junction D: 10 cars through from North, 50 cars waiting. 
Time: 1m17s - Junction Junction D: 11 cars through from North, 49 cars waiting. 
Time: 1m17s - Junction Junction D: 12 cars through from North, 48 cars waiting. 
Time: 1m17s - Junction Junction D: 13 cars through from North, 47 cars waiting. 
Time: 1m17s - Junction Junction D: 14 cars through from North, 46 cars waiting. 
Time: 1m18s - Junction Junction D: 15 cars through from North, 45 cars waiting. 
Time: 1m18s - Junction Junction D: 16 cars through from North, 44 cars waiting. 
Time: 1m18s - Junction Junction D: 17 cars through from North, 43 cars waiting. 
Time: 1m18s - Junction Junction D: 18 cars through from North, 42 cars waiting. 
Time: 1m18s - Junction Junction D: 19 cars through from North, 41 cars waiting. 
Time: 1m18s - Junction Junction D: 20 cars through from North, 40 cars waiting. 
Time: 1m18s - Junction Junction D: 21 cars through from North, 39 cars waiting. 
Time: 1m18s - Junction Junction D: 22 cars through from North, 38 cars waiting. 
Time: 1m18s - Junction Junction D: 23 cars through from North, 37 cars waiting. 
Time: 1m18s - Junction Junction D: 24 cars through from North, 36 cars waiting. 
Time: 1m19s - Junction Junction D: 25 cars through from North, 35 cars waiting. 
Time: 1m19s - Junction Junction D: 26 cars through from North, 34 cars waiting. 
Time: 1m19s - Junction Junction D: 27 cars through from North, 33 cars waiting. 
Time: 1m19s - Junction Junction D: 28 cars through from North, 32 cars waiting. 
Time: 1m19s - Junction Junction D: 29 cars through from North, 31 cars waiting. 
Time: 1m19s - Junction Junction D: 30 cars through from North, 30 cars waiting. 
Time: 1m19s - Junction Junction D: 31 cars through from North, 29 cars waiting. 
Time: 1m19s - Junction Junction D: 32 cars through from North, 28 cars waiting. 
Time: 1m19s - Junction Junction D: 33 cars through from North, 27 cars waiting. 
Time: 1m19s - Junction Junction D: 34 cars through from North, 26 cars waiting. 
Time: 1m20s - Junction Junction D: 35 cars through from North, 25 cars waiting. 
Time: 1m20s - Junction Junction D: 36 cars through from North, 24 cars waiting. 
Time: 1m20s - Junction Junction D: 37 cars through from North, 23 cars waiting. 
Time: 1m20s - Junction Junction D: 38 cars through from North, 22 cars waiting. 
Time: 1m20s - Junction Junction D: 39 cars through from North, 21 cars waiting. 
Time: 1m20s - Junction Junction D: 40 cars through from North, 20 cars waiting. 
Time: 1m20s - Junction Junction D: 41 cars through from North, 19 cars waiting. 
Time: 1m20s - Junction Junction D: 42 cars through from North, 18 cars waiting. 
Time: 1m20s - Junction Junction D: 43 cars through from North, 17 cars waiting. 
Time: 1m20s - Junction Junction D: 44 cars through from North, 16 cars waiting. 
Time: 1m21s - Junction Junction D: 45 cars through from North, 15 cars waiting. 
Time: 1m21s - Junction Junction D: 46 cars through from North, 14 cars waiting. 
Time: 1m21s - Junction Junction D: 47 cars through from North, 13 cars waiting. 
Time: 1m21s - Junction Junction D: 48 cars through from North, 12 cars waiting. 
Time: 1m21s - Junction Junction D: 49 cars through from North, 11 cars waiting. 
Time: 1m21s - Junction Junction D: 50 cars through from North, 10 cars waiting. 
Time: 1m21s - Junction Junction D: 51 cars through from North, 9 cars waiting. 
Time: 1m21s - Junction Junction D: 52 cars through from North, 8 cars waiting. 
Time: 1m21s - Junction Junction D: 53 cars through from North, 7 cars waiting. 
Time: 1m21s - Junction Junction D: 54 cars through from North, 6 cars waiting. 
Time: 1m22s - Junction Junction D: 55 cars through from North, 5 cars waiting. 
Time: 1m22s - Junction Junction D: 56 cars through from North, 4 cars waiting. 
Time: 1m22s - Junction Junction D: 57 cars through from North, 3 cars waiting. 
Time: 1m22s - Junction Junction D: 58 cars through from North, 2 cars waiting. 
Time: 1m22s - Junction Junction D: 59 cars through from North, 1 cars waiting. 
Time: 1m23s - Junction Junction D: 60 cars through from North, 0 cars waiting. 
Time: 1m40s - Junction Junction D: 1 cars through from South, 59 cars waiting. 
Time: 1m40s - Junction Junction D: 2 cars through from South, 58 cars waiting. 
Time: 1m40s - Junction Junction D: 3 cars through from South, 57 cars waiting. 
Time: 1m40s - Junction Junction D: 4 cars through from South, 56 cars waiting. 
Time: 1m40s - Junction Junction D: 5 cars through from South, 55 cars waiting. 
Time: 1m40s - Junction Junction D: 6 cars through from South, 54 cars waiting. 
Time: 1m40s - Junction Junction D: 7 cars through from South, 53 cars waiting. 
Time: 1m40s - Junction Junction D: 8 cars through from South, 52 cars waiting. 
Time: 1m40s - Junction Junction D: 9 cars through from South, 51 cars waiting. 
Time: 1m40s - Junction Junction D: 10 cars through from South, 50 cars waiting. 
Time: 1m41s - Junction Junction D: 11 cars through from South, 49 cars waiting. 
Time: 1m41s - Junction Junction D: 12 cars through from South, 48 cars waiting. 
Time: 1m41s - Junction Junction D: 13 cars through from South, 47 cars waiting. 
Time: 1m41s - Junction Junction D: 14 cars through from South, 46 cars waiting. 
Time: 1m41s - Junction Junction D: 15 cars through from South, 45 cars waiting. 
Time: 1m41s - Junction Junction D: 16 cars through from South, 44 cars waiting. 
Time: 1m41s - Junction Junction D: 17 cars through from South, 43 cars waiting. 
Time: 1m41s - Junction Junction D: 18 cars through from South, 42 cars waiting. 
Time: 1m41s - Junction Junction D: 19 cars through from South, 41 cars waiting. 
Time: 1m41s - Junction Junction D: 20 cars through from South, 40 cars waiting. 
Time: 1m42s - Junction Junction D: 21 cars through from South, 39 cars waiting. 
Time: 1m42s - Junction Junction D: 22 cars through from South, 38 cars waiting. 
Time: 1m42s - Junction Junction D: 23 cars through from South, 37 cars waiting. 
Time: 1m42s - Junction Junction D: 24 cars through from South, 36 cars waiting. 
Time: 1m42s - Junction Junction D: 25 cars through from South, 35 cars waiting. 
Time: 1m42s - Junction Junction D: 26 cars through from South, 34 cars waiting. 
Time: 1m42s - Junction Junction D: 27 cars through from South, 33 cars waiting. 
Time: 1m42s - Junction Junction D: 28 cars through from South, 32 cars waiting. 
Time: 1m42s - Junction Junction D: 29 cars through from South, 31 cars waiting. 
Time: 1m42s - Junction Junction D: 30 cars through from South, 30 cars waiting. 
Time: 1m43s - Junction Junction D: 31 cars through from South, 29 cars waiting. 
Time: 1m43s - Junction Junction D: 32 cars through from South, 28 cars waiting. 
Time: 1m43s - Junction Junction D: 33 cars through from South, 27 cars waiting. 
Time: 1m43s - Junction Junction D: 34 cars through from South, 26 cars waiting. 
Time: 1m43s - Junction Junction D: 35 cars through from South, 25 cars waiting. 
Time: 1m43s - Junction Junction D: 36 cars through from South, 24 cars waiting. 
Time: 1m43s - Junction Junction D: 37 cars through from South, 23 cars waiting. 
Time: 1m43s - Junction Junction D: 38 cars through from South, 22 cars waiting. 
Time: 1m43s - Junction Junction D: 39 cars through from South, 21 cars waiting. 
Time: 1m43s - Junction Junction D: 40 cars through from South, 20 cars waiting. 
Time: 1m44s - Junction Junction D: 41 cars through from South, 19 cars waiting. 
Time: 1m44s - Junction Junction D: 42 cars through from South, 18 cars waiting. 
Time: 1m44s - Junction Junction D: 43 cars through from South, 17 cars waiting. 
Time: 1m44s - Junction Junction D: 44 cars through from South, 16 cars waiting. 
Time: 1m44s - Junction Junction D: 45 cars through from South, 15 cars waiting. 
Time: 1m44s - Junction Junction D: 46 cars through from South, 14 cars waiting. 
Time: 1m44s - Junction Junction D: 47 cars through from South, 13 cars waiting. 
Time: 1m44s - Junction Junction D: 48 cars through from South, 12 cars waiting. 
Time: 1m44s - Junction Junction D: 49 cars through from South, 11 cars waiting. 
Time: 1m44s - Junction Junction D: 50 cars through from South, 10 cars waiting. 
Time: 1m45s - Junction Junction D: 51 cars through from South, 9 cars waiting. 
Time: 1m45s - Junction Junction D: 52 cars through from South, 8 cars waiting. 
Time: 1m45s - Junction Junction D: 53 cars through from South, 7 cars waiting. 
Time: 1m45s - Junction Junction D: 54 cars through from South, 6 cars waiting. 
Time: 1m45s - Junction Junction D: 55 cars through from South, 5 cars waiting. 
Time: 1m45s - Junction Junction D: 56 cars through from South, 4 cars waiting. 
Time: 1m45s - Junction Junction D: 57 cars through from South, 3 cars waiting. 
Time: 1m45s - Junction Junction D: 58 cars through from South, 2 cars waiting. 
Time: 1m45s - Junction Junction D: 59 cars through from South, 1 cars waiting. 
Time: 1m46s - Junction Junction D: 60 cars through from South, 0 cars waiting. 
Time: 2m3s - Junction Junction D: 1 cars through from North, 59 cars waiting. 
Time: 2m3s - Junction Junction D: 2 cars through from North, 58 cars waiting. 
Time: 2m3s - Junction Junction D: 3 cars through from North, 57 cars waiting. 
Time: 2m3s - Junction Junction D: 4 cars through from North, 56 cars waiting. 
Time: 2m3s - Junction Junction D: 5 cars through from North, 55 cars waiting. 
Time: 2m3s - Junction Junction D: 6 cars through from North, 54 cars waiting. 
Time: 2m3s - Junction Junction D: 7 cars through from North, 53 cars waiting. 
Time: 2m4s - Junction Junction D: 8 cars through from North, 52 cars waiting. 
Time: 2m4s - Junction Junction D: 9 cars through from North, 51 cars waiting. 
Time: 2m4s - Junction Junction D: 10 cars through from North, 50 cars waiting. 
Time: 2m4s - Junction Junction D: 11 cars through from North, 49 cars waiting. 
Time: 2m4s - Junction Junction D: 12 cars through from North, 48 cars waiting. 
Time: 2m4s - Junction Junction D: 13 cars through from North, 47 cars waiting. 
Time: 2m4s - Junction Junction D: 14 cars through from North, 46 cars waiting. 
Time: 2m4s - Junction Junction D: 15 cars through from North, 45 cars waiting. 
Time: 2m4s - Junction Junction D: 16 cars through from North, 44 cars waiting. 
Time: 2m4s - Junction Junction D: 17 cars through from North, 43 cars waiting. 
Time: 2m5s - Junction Junction D: 18 cars through from North, 42 cars waiting. 
Time: 2m5s - Junction Junction D: 19 cars through from North, 41 cars waiting. 
Time: 2m5s - Junction Junction D: 20 cars through from North, 40 cars waiting. 
Time: 2m5s - Junction Junction D: 21 cars through from North, 39 cars waiting. 
Time: 2m5s - Junction Junction D: 22 cars through from North, 38 cars waiting. 
Time: 2m5s - Junction Junction D: 23 cars through from North, 37 cars waiting. 
Time: 2m5s - Junction Junction D: 24 cars through from North, 36 cars waiting. 
Time: 2m5s - Junction Junction D: 25 cars through from North, 35 cars waiting. 
Time: 2m5s - Junction Junction D: 26 cars through from North, 34 cars waiting. 
Time: 2m5s - Junction Junction D: 27 cars through from North, 33 cars waiting. 
Time: 2m6s - Junction Junction D: 28 cars through from North, 32 cars waiting. 
Time: 2m6s - Junction Junction D: 29 cars through from North, 31 cars waiting. 
Time: 2m6s - Junction Junction D: 30 cars through from North, 30 cars waiting. 
Time: 2m6s - Junction Junction D: 31 cars through from North, 29 cars waiting. 
Time: 2m6s - Junction Junction D: 32 cars through from North, 28 cars waiting. 
Time: 2m6s - Junction Junction D: 33 cars through from North, 27 cars waiting. 
Time: 2m6s - Junction Junction D: 34 cars through from North, 26 cars waiting. 
Time: 2m6s - Junction Junction D: 35 cars through from North, 25 cars waiting. 
Time: 2m6s - Junction Junction D: 36 cars through from North, 24 cars waiting. 
Time: 2m6s - Junction Junction D: 37 cars through from North, 23 cars waiting. 
Time: 2m7s - Junction Junction D: 38 cars through from North, 22 cars waiting. 
Time: 2m7s - Junction Junction D: 39 cars through from North, 21 cars waiting. 
Time: 2m7s - Junction Junction D: 40 cars through from North, 20 cars waiting. 
Time: 2m7s - Junction Junction D: 41 cars through from North, 19 cars waiting. 
Time: 2m7s - Junction Junction D: 42 cars through from North, 18 cars waiting. 
Time: 2m7s - Junction Junction D: 43 cars through from North, 17 cars waiting. 
Time: 2m7s - Junction Junction D: 44 cars through from North, 16 cars waiting. 
Time: 2m7s - Junction Junction D: 45 cars through from North, 15 cars waiting. 
Time: 2m7s - Junction Junction D: 46 cars through from North, 14 cars waiting. 
Time: 2m7s - Junction Junction D: 47 cars through from North, 13 cars waiting. 
