Time: 0m0s - Junction Junction C: 1 cars through from North, 9 cars waiting. 
Time: 0m28s - Junction Junction C: 8 cars through from North, 32 cars waiting. 
Time: 0m28s - Junction Junction C: 9 cars through from North, 31 cars waiting. 
Time: 0m28s - Junction Junction C: 10 cars through from North, 30 cars waiting. 
Time: 0m29s - Junction Junction C: 11 cars through from North, 29 cars waiting. 
Time: 0m29s - Junction Junction C: 12 cars through from North, 28 cars waiting. 
Time: 0m29s - Junction Junction C: 13 cars through from North, 27 cars waiting. 
Time: 0m29s - Junction Junction C: 14 cars through from North, 26 cars waiting. 
Time: 0m30s - Junction Junction C: 15 cars through from North, 25 cars waiting. 
Time: 0m30s - Junction Junction C: 16 cars through from North, 24 cars waiting. 
Time: 0m30s - Junction Junction C: 17 cars through from North, 23 cars waiting. 
Time: 0m31s - Junction Junction C: 18 cars through from North, 22 cars waiting. 
Time: 0m31s - Junction Junction C: 19 cars through from North, 21 cars waiting. 
Time: 0m31s - Junction Junction C: 20 cars through from North, 20 cars waiting. 
Time: 0m31s - Junction Junction C: 21 cars through from North, 19 cars waiting. 
Time: 0m32s - Junction Junction C: 22 cars through from North, 18 cars waiting. 
Time: 0m32s - Junction Junction C: 23 cars through from North, 17 cars waiting. 
Time: 0m32s - Junction Junction C: 24 cars through from North, 16 cars waiting. 
Time: 0m32s - Junction Junction C: 25 cars through from North, 15 cars waiting. 
Time: 0m32s - Junction Junction C: 26 cars through from North, 14 cars waiting. 
Time: 0m33s - Junction Junction C: 27 cars through from North, 13 cars waiting. 
Time: 0m33s - Junction Junction C: 28 cars through from North, 12 cars waiting. 
Time: 0m33s - Junction Junction C: 29 cars through from North, 11 cars waiting. 
Time: 0m33s - Junction Junction C: 30 cars through from North, 10 cars waiting. 
Time: 0m33s - Junction Junction C: 31 cars through from North, 9 cars waiting. 
Time: 0m34s - Junction Junction C: 32 cars through from North, 8 cars waiting. 
Time: 0m34s - Junction Junction C: 33 cars through from North, 7 cars waiting. 
Time: 0m34s - Junction Junction C: 34 cars through from North, 6 cars waiting. 
Time: 0m34s - Junction Junction C: 35 cars through from North, 5 cars waiting. 
Time: 0m35s - Junction Junction C: 36 cars through from North, 4 cars waiting. 
Time: 0m35s - Junction Junction C: 37 cars through from North, 3 cars waiting. 
Time: 0m35s - Junction Junction C: 38 cars through from North, 2 cars waiting. 
Time: 0m35s - Junction Junction C: 39 cars through from North, 1 cars waiting. 
Time: 0m35s - Junction Junction C: 40 cars through from North, 0 cars waiting. 
Time: 0m44s - Junction Junction C: 1 cars through from South, 39 cars waiting. 
Time: 0m44s - Junction Junction C: 2 cars through from South, 38 cars waiting. 
Time: 0m44s - Junction Junction C: 3 cars through from South, 37 cars waiting. 
Time: 0m45s - Junction Junction C: 4 cars through from South, 36 cars waiting. 
Time: 0m45s - Junction Junction C: 5 cars through from South, 35 cars waiting. 
Time: 0m45s - Junction Junction C: 6 cars through from South, 34 cars waiting. 
Time: 0m45s - Junction Junction C: 7 cars through from South, 33 cars waiting. 
Time: 0m46s - Junction Junction C: 8 cars through from South, 32 cars waiting. 
Time: 0m46s - Junction Junction C: 9 cars through from South, 31 cars waiting. 
Time: 0m46s - Junction Junction C: 10 cars through from South, 30 cars waiting. 
Time: 0m47s - Junction Junction C: 11 cars through from South, 29 cars waiting. 
Time: 0m47s - Junction Junction C: 12 cars through from South, 28 cars waiting. 
Time: 0m47s - Junction Junction C: 13 cars through from South, 27 cars waiting. 
Time: 0m47s - Junction Junction C: 14 cars through from South, 26 cars waiting. 
Time: 0m48s - Junction Junction C: 15 cars through from South, 25 cars waiting. 
Time: 0m48s - Junction Junction C: 16 cars through from South, 24 cars waiting. 
Time: 0m48s - Junction Junction C: 17 cars through from South, 23 cars waiting. 
Time: 0m49s - Junction Junction C: 18 cars through from South, 22 cars waiting. 
Time: 0m49s - Junction Junction C: 19 cars through from South, 21 cars waiting. 
Time: 0m49s - Junction Junction C: 20 cars through from South, 20 cars waiting. 
Time: 0m49s - Junction Junction C: 21 cars through from South, 19 cars waiting. 
Time: 0m49s - Junction Junction C: 22 cars through from South, 18 cars waiting. 
Time: 0m50s - Junction Junction C: 23 cars through from South, 17 cars waiting. 
Time: 0m50s - Junction Junction C: 24 cars through from South, 16 cars waiting. 
Time: 0m50s - Junction Junction C: 25 cars through from South, 15 cars waiting. 
Time: 0m50s - Junction Junction C: 26 cars through from South, 14 cars waiting. 
Time: 0m50s - Junction Junction C: 27 cars through from South, 13 cars waiting. 
Time: 0m51s - Junction Junction C: 28 cars through from South, 12 cars waiting. 
Time: 0m51s - Junction Junction C: 29 cars through from South, 11 cars waiting. 
Time: 0m51s - Junction Junction C: 30 cars through from South, 10 cars waiting. 
Time: 0m51s - Junction Junction C: 31 cars through from South, 9 cars waiting. 
Time: 0m51s - Junction Junction C: 32 cars through from South, 8 cars waiting. 
Time: 0m52s - Junction Junction C: 33 cars through from South, 7 cars waiting. 
Time: 0m52s - Junction Junction C: 34 cars through from South, 6 cars waiting. 
Time: 0m52s - Junction Junction C: 35 cars through from South, 5 cars waiting. 
Time: 0m52s - Junction Junction C: 36 cars through from South, 4 cars waiting. 
Time: 0m52s - Junction Junction C: 37 cars through from South, 3 cars waiting. 
Time: 0m53s - Junction Junction C: 38 cars through from South, 2 cars waiting. 
Time: 0m53s - Junction Junction C: 39 cars through from South, 1 cars waiting. 
Time: 0m53s - Junction Junction C: 40 cars through from South, 0 cars waiting. 
Time: 1m2s - Junction Junction C: 1 cars through from North, 59 cars waiting. 
Time: 1m3s - Junction Junction C: 2 cars through from North, 58 cars waiting. 
Time: 1m3s - Junction Junction C: 3 cars through from North, 57 cars waiting. 
Time: 1m3s - Junction Junction C: 4 cars through from North, 56 cars waiting. 
Time: 1m3s - Junction Junction C: 5 cars through from North, 55 cars waiting. 
Time: 1m4s - Junction Junction C: 6 cars through from North, 54 cars waiting. 
Time: 1m4s - Junction Junction C: 7 cars through from North, 53 cars waiting. 
Time: 1m4s - Junction Junction C: 8 cars through from North, 52 cars waiting. 
Time: 1m4s - Junction Junction C: 9 cars through from North, 51 cars waiting. 
Time: 1m4s - Junction Junction C: 10 cars through from North, 50 cars waiting. 
Time: 1m4s - Junction Junction C: 11 cars through from North, 49 cars waiting. 
Time: 1m5s - Junction Junction C: 12 cars through from North, 48 cars waiting. 
Time: 1m5s - Junction Junction C: 13 cars through from North, 47 cars waiting. 
Time: 1m5s - Junction Junction C: 14 cars through from North, 46 cars waiting. 
Time: 1m5s - Junction Junction C: 15 cars through from North, 45 cars waiting. 
Time: 1m5s - Junction Junction C: 16 cars through from North, 44 cars waiting. 
Time: 1m6s - Junction Junction C: 17 cars through from North, 43 cars waiting. 
Time: 1m6s - Junction Junction C: 18 cars through from North, 42 cars waiting. 
Time: 1m6s - Junction Junction C: 19 cars through from North, 41 cars waiting. 
Time: 1m6s - Junction Junction C: 20 cars through from North, 40 cars waiting. 
Time: 1m7s - Junction Junction C: 21 cars through from North, 39 cars waiting. 
Time: 1m7s - Junction Junction C: 22 cars through from North, 38 cars waiting. 
Time: 1m7s - Junction Junction C: 23 cars through from North, 37 cars waiting. 
Time: 1m8s - Junction Junction C: 24 cars through from North, 36 cars waiting. 
Time: 1m8s - Junction Junction C: 25 cars through from North, 35 cars waiting. 
Time: 1m8s - Junction Junction C: 26 cars through from North, 34 cars waiting. 
Time: 1m8s - Junction Junction C: 27 cars through from North, 33 cars waiting. 
Time: 1m9s - Junction Junction C: 28 cars through from North, 32 cars waiting. 
Time: 1m9s - Junction Junction C: 29 cars through from North, 31 cars waiting. 
Time: 1m9s - Junction Junction C: 30 cars through from North, 30 cars waiting. 
Time: 1m9s - Junction Junction C: 31 cars through from North, 29 cars waiting. 
Time: 1m9s - Junction Junction C: 32 cars through from North, 28 cars waiting. 
Time: 1m10s - Junction Junction C: 33 cars through from North, 27 cars waiting. 
Time: 1m10s - Junction Junction C: 34 cars through from North, 26 cars waiting. 
Time: 1m10s - Junction Junction C: 35 cars through from North, 25 cars waiting. 
Time: 1m10s - Junction Junction C: 36 cars through from North, 24 cars waiting. 
Time: 1m11s - Junction Junction C: 37 cars through from North, 23 cars waiting. 
Time: 1m11s - Junction Junction C: 38 cars through from North, 22 cars waiting. 
Time: 1m11s - Junction Junction C: 39 cars through from North, 21 cars waiting. 
Time: 1m11s - Junction Junction C: 40 cars through from North, 20 cars waiting. 
Time: 1m11s - Junction Junction C: 41 cars through from North, 19 cars waiting. 
Time: 1m12s - Junction Junction C: 42 cars through from North, 18 cars waiting. 
Time: 1m12s - Junction Junction C: 43 cars through from North, 17 cars waiting. 
Time: 1m12s - Junction Junction C: 44 cars through from North, 16 cars waiting. 
Time: 1m12s - Junction Junction C: 45 cars through from North, 15 cars waiting. 
Time: 1m12s - Junction Junction C: 46 cars through from North, 14 cars waiting. 
Time: 1m13s - Junction Junction C: 47 cars through from North, 13 cars waiting. 
Time: 1m13s - Junction Junction C: 48 cars through from North, 12 cars waiting. 
Time: 1m13s - Junction Junction C: 49 cars through from North, 11 cars waiting. 
Time: 1m13s - Junction Junction C: 50 cars through from North, 10 cars waiting. 
Time: 1m13s - Junction Junction C: 51 cars through from North, 9 cars waiting. 
Time: 1m14s - Junction Junction C: 52 cars through from North, 8 cars waiting. 
Time: 1m14s - Junction Junction C: 53 cars through from North, 7 cars waiting. 
Time: 1m14s - Junction Junction C: 54 cars through from North, 6 cars waiting. 
Time: 1m14s - Junction Junction C: 55 cars through from North, 5 cars waiting. 
Time: 1m14s - Junction Junction C: 56 cars through from North, 4 cars waiting. 
Time: 1m15s - Junction Junction C: 57 cars through from North, 3 cars waiting. 
Time: 1m15s - Junction Junction C: 58 cars through from North, 2 cars waiting. 
Time: 1m15s - Junction Junction C: 59 cars through from North, 1 cars waiting. 
Time: 1m15s - Junction Junction C: 60 cars through from North, 0 cars waiting. 
Time: 1m24s - Junction Junction C: 1 cars through from South, 59 cars waiting. 
Time: 1m25s - Junction Junction C: 2 cars through from South, 58 cars waiting. 
Time: 1m25s - Junction Junction C: 3 cars through from South, 57 cars waiting. 
Time: 1m25s - Junction Junction C: 4 cars through from South, 56 cars waiting. 
Time: 1m25s - Junction Junction C: 5 cars through from South, 55 cars waiting. 
Time: 1m25s - Junction Junction C: 6 cars through from South, 54 cars waiting. 
Time: 1m25s - Junction Junction C: 7 cars through from South, 53 cars waiting. 
Time: 1m26s - Junction Junction C: 8 cars through from South, 52 cars waiting. 
Time: 1m26s - Junction Junction C: 9 cars through from South, 51 cars waiting. 
Time: 1m26s - Junction Junction C: 10 cars through from South, 50 cars waiting. 
Time: 1m26s - Junction Junction C: 11 cars through from South, 49 cars waiting. 
Time: 1m27s - Junction Junction C: 12 cars through from South, 48 cars waiting. 
Time: 1m27s - Junction Junction C: 13 cars through from South, 47 cars waiting. 
Time: 1m27s - Junction Junction C: 14 cars through from South, 46 cars waiting. 
Time: 1m28s - Junction Junction C: 15 cars through from South, 45 cars waiting. 
Time: 1m28s - Junction Junction C: 16 cars through from South, 44 cars waiting. 
Time: 1m28s - Junction Junction C: 17 cars through from South, 43 cars waiting. 
Time: 1m28s - Junction Junction C: 18 cars through from South, 42 cars waiting. 
Time: 1m29s - Junction Junction C: 19 cars through from South, 41 cars waiting. 
Time: 1m29s - Junction Junction C: 20 cars through from South, 40 cars waiting. 
Time: 1m29s - Junction Junction C: 21 cars through from South, 39 cars waiting. 
Time: 1m30s - Junction Junction C: 22 cars through from South, 38 cars waiting. 
Time: 1m30s - Junction Junction C: 23 cars through from South, 37 cars waiting. 
Time: 1m30s - Junction Junction C: 24 cars through from South, 36 cars waiting. 
Time: 1m30s - Junction Junction C: 25 cars through from South, 35 cars waiting. 
Time: 1m31s - Junction Junction C: 26 cars through from South, 34 cars waiting. 
Time: 1m31s - Junction Junction C: 27 cars through from South, 33 cars waiting. 
Time: 1m31s - Junction Junction C: 28 cars through from South, 32 cars waiting. 
Time: 1m32s - Junction Junction C: 29 cars through from South, 31 cars waiting. 
Time: 1m32s - Junction Junction C: 30 cars through from South, 30 cars waiting. 
Time: 1m32s - Junction Junction C: 31 cars through from South, 29 cars waiting. 
Time: 1m32s - Junction Junction C: 32 cars through from South, 28 cars waiting. 
Time: 1m33s - Junction Junction C: 33 cars through from South, 27 cars waiting. 
Time: 1m33s - Junction Junction C: 34 cars through from South, 26 cars waiting. 
Time: 1m33s - Junction Junction C: 35 cars through from South, 25 cars waiting. 
Time: 1m34s - Junction Junction C: 36 cars through from South, 24 cars waiting. 
Time: 1m34s - Junction Junction C: 37 cars through from South, 23 cars waiting. 
Time: 1m34s - Junction Junction C: 38 cars through from South, 22 cars waiting. 
Time: 1m34s - Junction Junction C: 39 cars through from South, 21 cars waiting. 
Time: 1m35s - Junction Junction C: 40 cars through from South, 20 cars waiting. 
Time: 1m35s - Junction Junction C: 41 cars through from South, 19 cars waiting. 
Time: 1m35s - Junction Junction C: 42 cars through from South, 18 cars waiting. 
Time: 1m35s - Junction Junction C: 43 cars through from South, 17 cars waiting. 
Time: 1m35s - Junction Junction C: 44 cars through from South, 16 cars waiting. 
Time: 1m36s - Junction Junction C: 45 cars through from South, 15 cars waiting. 
Time: 1m36s - Junction Junction C: 46 cars through from South, 14 cars waiting. 
Time: 1m36s - Junction Junction C: 47 cars through from South, 13 cars waiting. 
Time: 1m36s - Junction Junction C: 48 cars through from South, 12 cars waiting. 
Time: 1m36s - Junction Junction C: 49 cars through from South, 11 cars waiting. 
Time: 1m37s - Junction Junction C: 50 cars through from South, 10 cars waiting. 
Time: 1m37s - Junction Junction C: 51 cars through from South, 9 cars waiting. 
Time: 1m37s - Junction Junction C: 52 cars through from South, 8 cars waiting. 
Time: 1m37s - Junction Junction C: 53 cars through from South, 7 cars waiting. 
Time: 1m37s - Junction Junction C: 54 cars through from South, 6 cars waiting. 
Time: 1m38s - Junction Junction C: 55 cars through from South, 5 cars waiting. 
Time: 1m38s - Junction Junction C: 56 cars through from South, 4 cars waiting. 
Time: 1m38s - Junction Junction C: 57 cars through from South, 3 cars waiting. 
Time: 1m38s - Junction Junction C: 58 cars through from South, 2 cars waiting. 
Time: 1m38s - Junction Junction C: 59 cars through from South, 1 cars waiting. 
Time: 1m39s - Junction Junction C: 60 cars through from South, 0 cars waiting. 
Time: 1m48s - Junction Junction C: 1 cars through from North, 59 cars waiting. 
Time: 1m48s - Junction Junction C: 2 cars through from North, 58 cars waiting. 
Time: 1m48s - Junction Junction C: 3 cars through from North, 57 cars waiting. 
Time: 1m48s - Junction Junction C: 4 cars through from North, 56 cars waiting. 
Time: 1m49s - Junction Junction C: 5 cars through from North, 55 cars waiting. 
Time: 1m49s - Junction Junction C: 6 cars through from North, 54 cars waiting. 
Time: 1m49s - Junction Junction C: 7 cars through from North, 53 cars waiting. 
Time: 1m49s - Junction Junction C: 8 cars through from North, 52 cars waiting. 
Time: 1m49s - Junction Junction C: 9 cars through from North, 51 cars waiting. 
Time: 1m50s - Junction Junction C: 10 cars through from North, 50 cars waiting. 
Time: 1m50s - Junction Junction C: 11 cars through from North, 49 cars waiting. 
Time: 1m50s - Junction Junction C: 12 cars through from North, 48 cars waiting. 
Time: 1m50s - Junction Junction C: 13 cars through from North, 47 cars waiting. 
Time: 1m51s - Junction Junction C: 14 cars through from North, 46 cars waiting. 
Time: 1m51s - Junction Junction C: 15 cars through from North, 45 cars waiting. 
Time: 1m51s - Junction Junction C: 16 cars through from North, 44 cars waiting. 
Time: 1m52s - Junction Junction C: 17 cars through from North, 43 cars waiting. 
Time: 1m52s - Junction Junction C: 18 cars through from North, 42 cars waiting. 
Time: 1m52s - Junction Junction C: 19 cars through from North, 41 cars waiting. 
Time: 1m53s - Junction Junction C: 20 cars through from North, 40 cars waiting. 
Time: 1m53s - Junction Junction C: 21 cars through from North, 39 cars waiting. 
Time: 1m53s - Junction Junction C: 22 cars through from North, 38 cars waiting. 
Time: 1m53s - Junction Junction C: 23 cars through from North, 37 cars waiting. 
Time: 1m54s - Junction Junction C: 24 cars through from North, 36 cars waiting. 
Time: 1m54s - Junction Junction C: 25 cars through from North, 35 cars waiting. 
Time: 1m54s - Junction Junction C: 26 cars through from North, 34 cars waiting. 
Time: 1m55s - Junction Junction C: 27 cars through from North, 33 cars waiting. 
Time: 1m55s - Junction Junction C: 28 cars through from North, 32 cars waiting. 
Time: 1m55s - Junction Junction C: 29 cars through from North, 31 cars waiting. 
Time: 1m55s - Junction Junction C: 30 cars through from North, 30 cars waiting. 
Time: 1m56s - Junction Junction C: 31 cars through from North, 29 cars waiting. 
Time: 1m56s - Junction Junction C: 32 cars through from North, 28 cars waiting. 
Time: 1m56s - Junction Junction C: 33 cars through from North, 27 cars waiting. 
Time: 1m57s - Junction Junction C: 34 cars through from North, 26 cars waiting. 
Time: 1m57s - Junction Junction C: 35 cars through from North, 25 cars waiting. 
Time: 1m57s - Junction Junction C: 36 cars through from North, 24 cars waiting. 
Time: 1m57s - Junction Junction C: 37 cars through from North, 23 cars waiting. 
Time: 1m58s - Junction Junction C: 38 cars through from North, 22 cars waiting. 
Time: 1m58s - Junction Junction C: 39 cars through from North, 21 cars waiting. 
Time: 1m58s - Junction Junction C: 40 cars through from North, 20 cars waiting. 
Time: 1m58s - Junction Junction C: 41 cars through from North, 19 cars waiting. 
Time: 1m59s - Junction Junction C: 42 cars through from North, 18 cars waiting. 
Time: 1m59s - Junction Junction C: 43 cars through from North, 17 cars waiting. 
Time: 1m59s - Junction Junction C: 44 cars through from North, 16 cars waiting. 
Time: 1m59s - Junction Junction C: 45 cars through from North, 15 cars waiting. 
Time: 1m59s - Junction Junction C: 46 cars through from North, 14 cars waiting. 
Time: 1m59s - Junction Junction C: 47 cars through from North, 13 cars waiting. 
Time: 1m59s - Junction Junction C: 48 cars through from North, 12 cars waiting. 
Time: 2m0s - Junction Junction C: 49 cars through from North, 11 cars waiting. 
Time: 2m0s - Junction Junction C: 50 cars through from North, 10 cars waiting. 
Time: 2m0s - Junction Junction C: 51 cars through from North, 9 cars waiting. 
Time: 2m0s - Junction Junction C: 52 cars through from North, 8 cars waiting. 
Time: 2m0s - Junction Junction C: 53 cars through from North, 7 cars waiting. 
Time: 2m1s - Junction Junction C: 54 cars through from North, 6 cars waiting. 
Time: 2m1s - Junction Junction C: 55 cars through from North, 5 cars waiting. 
Time: 2m1s - Junction Junction C: 56 cars through from North, 4 cars waiting. 
Time: 2m1s - Junction Junction C: 57 cars through from North, 3 cars waiting. 
Time: 2m1s - Junction Junction C: 58 cars through from North, 2 cars waiting. 
Time: 2m2s - Junction Junction C: 59 cars through from North, 1 cars waiting. 
Time: 2m2s - Junction Junction C: 60 cars through from North, 0 cars waiting. 
Time: 2m11s - Junction Junction C: 1 cars through from South, 59 cars waiting. 
Time: 2m11s - Junction Junction C: 2 cars through from South, 58 cars waiting. 
Time: 2m11s - Junction Junction C: 3 cars through from South, 57 cars waiting. 
Time: 2m12s - Junction Junction C: 4 cars through from South, 56 cars waiting. 
Time: 2m12s - Junction Junction C: 5 cars through from South, 55 cars waiting. 
Time: 2m12s - Junction Junction C: 6 cars through from South, 54 cars waiting. 
Time: 2m12s - Junction Junction C: 7 cars through from South, 53 cars waiting. 
Time: 2m12s - Junction Junction C: 8 cars through from South, 52 cars waiting. 
Time: 2m13s - Junction Junction C: 9 cars through from South, 51 cars waiting. 
Time: 2m13s - Junction Junction C: 10 cars through from South, 50 cars waiting. 
Time: 2m13s - Junction Junction C: 11 cars through from South, 49 cars waiting. 
Time: 2m14s - Junction Junction C: 12 cars through from South, 48 cars waiting. 
Time: 2m14s - Junction Junction C: 13 cars through from South, 47 cars waiting. 
Time: 2m14s - Junction Junction C: 14 cars through from South, 46 cars waiting. 
Time: 2m14s - Junction Junction C: 15 cars through from South, 45 cars waiting. 
Time: 2m15s - Junction Junction C: 16 cars through from South, 44 cars waiting. 
Time: 2m15s - Junction Junction C: 17 cars through from South, 43 cars waiting. 
Time: 2m15s - Junction Junction C: 18 cars through from South, 42 cars waiting. 
Time: 2m16s - Junction Junction C: 19 cars through from South, 41 cars waiting. 
Time: 2m16s - Junction Junction C: 20 cars through from South, 40 cars waiting. 
Time: 2m16s - Junction Junction C: 21 cars through from South, 39 cars waiting. 
Time: 2m16s - Junction Junction C: 22 cars through from South, 38 cars waiting. 
Time: 2m17s - Junction Junction C: 23 cars through from South, 37 cars waiting. 
Time: 2m17s - Junction Junction C: 24 cars through from South, 36 cars waiting. 
Time: 2m17s - Junction Junction C: 25 cars through from South, 35 cars waiting. 
Time: 2m18s - Junction Junction C: 26 cars through from South, 34 cars waiting. 
Time: 2m18s - Junction Junction C: 27 cars through from South, 33 cars waiting. 
Time: 2m18s - Junction Junction C: 28 cars through from South, 32 cars waiting. 
Time: 2m19s - Junction Junction C: 29 cars through from South, 31 cars waiting. 
Time: 2m19s - Junction Junction C: 30 cars through from South, 30 cars waiting. 
Time: 2m19s - Junction Junction C: 31 cars through from South, 29 cars waiting. 
Time: 2m19s - Junction Junction C: 32 cars through from South, 28 cars waiting. 
Time: 2m20s - Junction Junction C: 33 cars through from South, 27 cars waiting. 
Time: 2m20s - Junction Junction C: 34 cars through from South, 26 cars waiting. 
Time: 2m20s - Junction Junction C: 35 cars through from South, 25 cars waiting. 
Time: 2m20s - Junction Junction C: 36 cars through from South, 24 cars waiting. 
Time: 2m21s - Junction Junction C: 37 cars through from South, 23 cars waiting. 
Time: 2m21s - Junction Junction C: 38 cars through from South, 22 cars waiting. 
Time: 2m21s - Junction Junction C: 39 cars through from South, 21 cars waiting. 
Time: 2m21s - Junction Junction C: 40 cars through from South, 20 cars waiting. 
Time: 2m22s - Junction Junction C: 41 cars through from South, 19 cars waiting. 
Time: 2m22s - Junction Junction C: 42 cars through from South, 18 cars waiting. 
Time: 2m22s - Junction Junction C: 43 cars through from South, 17 cars waiting. 
Time: 2m22s - Junction Junction C: 44 cars through from South, 16 cars waiting. 
Time: 2m22s - Junction Junction C: 45 cars through from South, 15 cars waiting. 
Time: 2m22s - Junction Junction C: 46 cars through from South, 14 cars waiting. 
Time: 2m23s - Junction Junction C: 47 cars through from South, 13 cars waiting. 
Time: 2m23s - Junction Junction C: 48 cars through from South, 12 cars waiting. 
Time: 2m23s - Junction Junction C: 49 cars through from South, 11 cars waiting. 
Time: 2m23s - Junction Junction C: 50 cars through from South, 10 cars waiting. 
Time: 2m23s - Junction Junction C: 51 cars through from South, 9 cars waiting. 
Time: 2m24s - Junction Junction C: 52 cars through from South, 8 cars waiting. 
Time: 2m24s - Junction Junction C: 53 cars through from South, 7 cars waiting. 
Time: 2m24s - Junction Junction C: 54 cars through from South, 6 cars waiting. 
Time: 2m24s - Junction Junction C: 55 cars through from South, 5 cars waiting. 
Time: 2m24s - Junction Junction C: 56 cars through from South, 4 cars waiting. 
Time: 2m25s - Junction Junction C: 57 cars through from South, 3 cars waiting. 
